,married couples and consensual unions together,lone parent with child(ren),together,together.1,of which: two-family household,Unnamed: 5,total,of which: one-person household,Unnamed: 8,county,ind
J03 K03 Tófalu,110,32,142,7,7,149,90,82,239,Heves county,J03 K03 Tófalu
J03 K03 Újlõrincfalva,47,12,59,1,1,60,28,24,88,Heves county,J03 K03 Újlõrincfalva
J04 K04 Vámosgyörk,390,93,483,9,9,492,251,219,743,Heves county,J04 K04 Vámosgyörk
J07 K07 Váraszó,106,23,129,4,3,133,81,77,214,Heves county,J07 K07 Váraszó
J04 K04 Vécs,143,27,170,3,3,173,113,106,286,Heves county,J04 K04 Vécs
J02 K02 Verpelét,814,180,994,18,18,1012,528,484,1540,Heves county,J02 K02 Verpelét
J04 K04 Visonta,264,50,314,5,5,319,187,175,506,Heves county,J04 K04 Visonta
J04 K04 Visznek,258,49,307,7,7,314,160,139,474,Heves county,J04 K04 Visznek
J05 K05 Zagyvaszántó,431,104,535,13,13,548,241,224,789,Heves county,J05 K05 Zagyvaszántó
J06 K06 Zaránk,90,14,104,1,1,105,96,91,201,Heves county,J06 K06 Zaránk
County total,66521,15340,81861,1688,1622,83549,43499,39725,127048,Heves county,County total
Towns of county right,14012,4573,18585,181,176,18766,10924,10013,29690,Komárom-Esztergom county,Towns of county right
Other towns,28432,7085,35517,566,546,36083,17493,16095,53576,Komárom-Esztergom county,Other towns
Towns together,42444,11658,54102,747,722,54849,28417,26108,83266,Komárom-Esztergom county,Towns together
Villages,23312,4818,28130,845,825,28975,11482,10359,40457,Komárom-Esztergom county,Villages
County total,65756,16476,82232,1592,1547,83824,39899,36467,123723,Komárom-Esztergom county,County total
Districts,,,,,,,,,,Komárom-Esztergom county,Districts
J01 Esztergomi,20230,4894,25124,493,473,25617,11459,10453,37076,Komárom-Esztergom county,J01 Esztergomi
J02 Kisbéri,4424,907,5331,189,184,5520,2282,2056,7802,Komárom-Esztergom county,J02 Kisbéri
J03 Komáromi,8820,1986,10806,238,234,11044,5095,4667,16139,Komárom-Esztergom county,J03 Komáromi
J04 Oroszlányi,5827,1300,7127,108,103,7235,3523,3232,10758,Komárom-Esztergom county,J04 Oroszlányi
J05 Tatabányai,18136,5336,23472,327,319,23799,12753,11654,36552,Komárom-Esztergom county,J05 Tatabányai
J06 Tatai,8319,2053,10372,237,234,10609,4787,4405,15396,Komárom-Esztergom county,J06 Tatai
Statistical micro-regions,,,,,,,,,,Komárom-Esztergom county,Statistical micro-regions
K01 Dorogi,8563,2039,10602,243,234,10845,4579,4155,15424,Komárom-Esztergom county,K01 Dorogi
K02 Esztergomi,11667,2855,14522,250,239,14772,6880,6298,21652,Komárom-Esztergom county,K02 Esztergomi
K03 Kisbéri,4424,907,5331,189,184,5520,2282,2056,7802,Komárom-Esztergom county,K03 Kisbéri
K04 Komáromi,8820,1986,10806,238,234,11044,5095,4667,16139,Komárom-Esztergom county,K04 Komáromi
K05 Oroszlányi,5827,1300,7127,108,103,7235,3523,3232,10758,Komárom-Esztergom county,K05 Oroszlányi
K06 Tatabányai,18136,5336,23472,327,319,23799,12753,11654,36552,Komárom-Esztergom county,K06 Tatabányai
K07 Tatai,8319,2053,10372,237,234,10609,4787,4405,15396,Komárom-Esztergom county,K07 Tatai
Size-groups of population,,,,,,,,,,Komárom-Esztergom county,Size-groups of population
Towns,,,,,,,,,,Komárom-Esztergom county,Towns
Together,42444,11658,54102,747,722,54849,28417,26108,83266,Komárom-Esztergom county,Together
Villages,,,,,,,,,,Komárom-Esztergom county,Villages
  199 and less,.,.,.,.,.,.,.,.,.,Komárom-Esztergom county,  199 and less
Together,23312,4818,28130,845,825,28975,11482,10359,40457,Komárom-Esztergom county,Together
Total,65756,16476,82232,1592,1547,83824,39899,36467,123723,Komárom-Esztergom county,Total
Of which:,,,,,,,,,,Komárom-Esztergom county,Of which:
Data of localities,,,,,,,,,,Komárom-Esztergom county,Data of localities
County seat,,,,,,,,,,Komárom-Esztergom county,County seat
J05 K06 Tatabánya,14012,4573,18585,181,176,18766,10924,10013,29690,Komárom-Esztergom county,J05 K06 Tatabánya
Other towns,,,,,,,,,,Komárom-Esztergom county,Other towns
J03 K04 Ács,1582,294,1876,56,56,1932,752,684,2684,Komárom-Esztergom county,J03 K04 Ács
J03 K04 Bábolna,807,164,971,30,30,1001,358,321,1359,Komárom-Esztergom county,J03 K04 Bábolna
J01 K01 Dorog,2584,783,3367,49,46,3416,1658,1524,5074,Komárom-Esztergom county,J01 K01 Dorog
J01 K02 Esztergom,5988,1624,7612,112,107,7724,3921,3619,11645,Komárom-Esztergom county,J01 K02 Esztergom
J02 K03 Kisbér,1210,258,1468,37,35,1505,604,553,2109,Komárom-Esztergom county,J02 K03 Kisbér
J03 K04 Komárom,4279,1052,5331,68,66,5399,2789,2565,8188,Komárom-Esztergom county,J03 K04 Komárom
J01 K02 Lábatlan,1132,208,1340,28,26,1368,658,594,2026,Komárom-Esztergom county,J01 K02 Lábatlan
J01 K02 Nyergesújfalu,1740,401,2141,34,32,2175,892,823,3067,Komárom-Esztergom county,J01 K02 Nyergesújfalu
J04 K05 Oroszlány,4096,986,5082,48,45,5130,2723,2505,7853,Komárom-Esztergom county,J04 K05 Oroszlány
J06 K07 Tata,5014,1315,6329,104,103,6433,3138,2907,9571,Komárom-Esztergom county,J06 K07 Tata
Villages,,,,,,,,,,Komárom-Esztergom county,Villages
J02 K03 Ácsteszér,143,28,171,17,17,188,75,66,263,Komárom-Esztergom county,J02 K03 Ácsteszér
J02 K03 Aka,53,7,60,3,3,63,29,26,92,Komárom-Esztergom county,J02 K03 Aka
J03 K04 Almásfüzitõ,478,125,603,5,5,608,451,431,1059,Komárom-Esztergom county,J03 K04 Almásfüzitõ
J01 K01 Annavölgy,218,43,261,2,2,263,107,100,370,Komárom-Esztergom county,J01 K01 Annavölgy
J02 K03 Ászár,378,83,461,13,13,474,173,159,647,Komárom-Esztergom county,J02 K03 Ászár
J06 K07 Baj,609,158,767,14,14,781,297,272,1078,Komárom-Esztergom county,J06 K07 Baj
J01 K01 Bajna,450,86,536,10,9,546,198,179,744,Komárom-Esztergom county,J01 K01 Bajna
J01 K02 Bajót,318,70,388,15,14,403,152,143,555,Komárom-Esztergom county,J01 K02 Bajót
J02 K03 Bakonybánk,97,15,112,2,2,114,83,75,197,Komárom-Esztergom county,J02 K03 Bakonybánk
J02 K03 Bakonysárkány,205,62,267,12,12,279,101,92,380,Komárom-Esztergom county,J02 K03 Bakonysárkány
J02 K03 Bakonyszombathely,310,69,379,11,10,390,169,151,559,Komárom-Esztergom county,J02 K03 Bakonyszombathely
J03 K04 Bana,327,68,395,28,28,423,143,128,566,Komárom-Esztergom county,J03 K04 Bana
J02 K03 Bársonyos,153,28,181,5,5,186,84,71,270,Komárom-Esztergom county,J02 K03 Bársonyos
J04 K05 Bokod,472,108,580,11,11,591,226,204,817,Komárom-Esztergom county,J04 K05 Bokod
J02 K03 Császár,413,83,496,11,11,507,212,191,719,Komárom-Esztergom county,J02 K03 Császár
J02 K03 Csatka,53,13,66,1,1,67,49,46,116,Komárom-Esztergom county,J02 K03 Csatka
J03 K04 Csém,97,21,118,3,3,121,38,33,159,Komárom-Esztergom county,J03 K04 Csém
J02 K03 Csép,65,19,84,7,7,91,46,39,137,Komárom-Esztergom county,J02 K03 Csép
J01 K01 Csolnok,748,133,881,29,27,910,371,338,1281,Komárom-Esztergom county,J01 K01 Csolnok
J04 K05 Dad,223,45,268,12,11,280,96,82,376,Komárom-Esztergom county,J04 K05 Dad
J01 K01 Dág,231,26,257,5,5,262,126,118,388,Komárom-Esztergom county,J01 K01 Dág
J01 K02 Dömös,242,58,300,9,9,309,179,157,488,Komárom-Esztergom county,J01 K02 Dömös
J06 K07 Dunaalmás,308,77,385,12,12,397,174,161,571,Komárom-Esztergom county,J06 K07 Dunaalmás
J06 K07 Dunaszentmiklós,98,19,117,1,1,118,60,56,178,Komárom-Esztergom county,J06 K07 Dunaszentmiklós
J01 K01 Epöl,145,18,163,7,7,170,86,75,256,Komárom-Esztergom county,J01 K01 Epöl
J02 K03 Ete,131,18,149,7,6,156,73,66,229,Komárom-Esztergom county,J02 K03 Ete
J05 K06 Gyermely,312,61,373,15,15,388,142,125,530,Komárom-Esztergom county,J05 K06 Gyermely
J05 K06 Héreg,226,52,278,6,6,284,113,96,397,Komárom-Esztergom county,J05 K06 Héreg
J04 K05 Kecskéd,468,54,522,18,17,540,188,175,728,Komárom-Esztergom county,J04 K05 Kecskéd
J02 K03 Kerékteleki,161,30,191,8,8,199,59,54,258,Komárom-Esztergom county,J02 K03 Kerékteleki
J01 K01 Kesztölc,596,122,718,14,14,732,275,244,1007,Komárom-Esztergom county,J01 K01 Kesztölc
J03 K04 Kisigmánd,103,32,135,5,5,140,51,42,191,Komárom-Esztergom county,J03 K04 Kisigmánd
J06 K07 Kocs,563,100,663,31,31,694,260,226,954,Komárom-Esztergom county,J06 K07 Kocs
J04 K05 Kömlõd,238,56,294,8,8,302,97,87,399,Komárom-Esztergom county,J04 K05 Kömlõd
J05 K06 Környe,1005,200,1205,39,38,1244,488,439,1732,Komárom-Esztergom county,J05 K06 Környe
J01 K01 Leányvár,379,87,466,8,8,474,158,139,632,Komárom-Esztergom county,J01 K01 Leányvár
J01 K01 Máriahalom,140,44,184,4,4,188,61,55,249,Komárom-Esztergom county,J01 K01 Máriahalom
J03 K04 Mocsa,466,98,564,24,23,588,222,205,810,Komárom-Esztergom county,J03 K04 Mocsa
J01 K02 Mogyorósbánya,196,36,232,4,4,236,73,66,309,Komárom-Esztergom county,J01 K02 Mogyorósbánya
J03 K04 Nagyigmánd,681,132,813,19,18,832,291,258,1123,Komárom-Esztergom county,J03 K04 Nagyigmánd
J01 K01 Nagysáp,287,61,348,15,14,363,134,120,497,Komárom-Esztergom county,J01 K01 Nagysáp
J06 K07 Naszály,511,92,603,38,37,641,215,193,856,Komárom-Esztergom county,J06 K07 Naszály
J06 K07 Neszmély,270,79,349,9,8,358,187,166,545,Komárom-Esztergom county,J06 K07 Neszmély
J01 K01 Piliscsév,505,121,626,21,20,647,240,207,887,Komárom-Esztergom county,J01 K01 Piliscsév
J01 K02 Pilismarót,376,106,482,12,12,494,238,207,732,Komárom-Esztergom county,J01 K02 Pilismarót
J02 K03 Réde,335,57,392,9,9,401,171,151,572,Komárom-Esztergom county,J02 K03 Réde
J01 K01 Sárisáp,608,138,746,22,22,768,306,277,1074,Komárom-Esztergom county,J01 K01 Sárisáp
J02 K03 Súr,276,58,334,7,7,341,135,120,476,Komárom-Esztergom county,J02 K03 Súr
J01 K02 Süttõ,481,95,576,5,5,581,230,211,811,Komárom-Esztergom county,J01 K02 Süttõ
J04 K05 Szákszend,330,51,381,11,11,392,193,179,585,Komárom-Esztergom county,J04 K05 Szákszend
J05 K06 Szárliget,518,119,637,16,16,653,218,191,871,Komárom-Esztergom county,J05 K06 Szárliget
J06 K07 Szomód,483,96,579,18,18,597,208,191,805,Komárom-Esztergom county,J06 K07 Szomód
J05 K06 Szomor,258,44,302,3,3,305,92,80,397,Komárom-Esztergom county,J05 K06 Szomor
J06 K07 Tardos,355,86,441,9,9,450,186,174,636,Komárom-Esztergom county,J06 K07 Tardos
J05 K06 Tarján,614,80,694,23,23,717,294,270,1011,Komárom-Esztergom county,J05 K06 Tarján
J02 K03 Tárkány,314,62,376,30,29,406,148,135,554,Komárom-Esztergom county,J02 K03 Tárkány
J01 K02 Tát,1194,257,1451,31,30,1482,537,478,2019,Komárom-Esztergom county,J01 K02 Tát
J01 K01 Tokod,892,216,1108,30,29,1138,483,439,1621,Komárom-Esztergom county,J01 K01 Tokod
J01 K01 Tokodaltáró,633,134,767,19,19,786,287,256,1073,Komárom-Esztergom county,J01 K01 Tokodaltáró
J01 K01 Úny,147,27,174,8,8,182,89,84,271,Komárom-Esztergom county,J01 K01 Úny
J05 K06 Várgesztes,127,22,149,8,8,157,42,36,199,Komárom-Esztergom county,J05 K06 Várgesztes
J02 K03 Vérteskethely,127,17,144,9,9,153,71,61,224,Komárom-Esztergom county,J02 K03 Vérteskethely
J05 K06 Vértessomló,333,50,383,8,7,391,132,123,523,Komárom-Esztergom county,J05 K06 Vértessomló
J06 K07 Vértestolna,108,31,139,1,1,140,62,59,202,Komárom-Esztergom county,J06 K07 Vértestolna
J05 K06 Vértesszõlõs,731,135,866,28,27,894,308,281,1202,Komárom-Esztergom county,J05 K06 Vértesszõlõs
County total,65756,16476,82232,1592,1547,83824,39899,36467,123723,Komárom-Esztergom county,County total
Towns of county right,7595,2589,10184,76,74,10260,6696,6141,16956,Nógrád county,Towns of county right
Other towns,10069,2689,12758,215,212,12973,6390,5791,19363,Nógrád county,Other towns
Towns together,17664,5278,22942,291,286,23233,13086,11932,36319,Nógrád county,Towns together
Villages,24887,5474,30361,926,901,31287,15446,13968,46733,Nógrád county,Villages
County total,42551,10752,53303,1217,1187,54520,28532,25900,83052,Nógrád county,County total
Districts,,,,,,,,,,Nógrád county,Districts
J01 Balassagyarmati,8400,2045,10445,292,284,10737,4969,4463,15706,Nógrád county,J01 Balassagyarmati
J02 Bátonyterenyei,4638,1247,5885,74,73,5959,3520,3249,9479,Nógrád county,J02 Bátonyterenyei
J03 Pásztói,6782,1463,8245,279,272,8524,4132,3703,12656,Nógrád county,J03 Pásztói
J04 Rétsági,5204,1136,6340,213,210,6553,2957,2632,9510,Nógrád county,J04 Rétsági
J05 Salgótarjáni,13441,3957,17398,214,210,17612,10591,9716,28203,Nógrád county,J05 Salgótarjáni
J06 Szécsényi,4086,904,4990,145,138,5135,2363,2137,7498,Nógrád county,J06 Szécsényi
Statistical micro-regions,,,,,,,,,,Nógrád county,Statistical micro-regions
K01 Balassagyarmati,8400,2045,10445,292,284,10737,4969,4463,15706,Nógrád county,K01 Balassagyarmati
K02 Bátonyterenyei,5153,1332,6485,88,87,6573,3788,3493,10361,Nógrád county,K02 Bátonyterenyei
K03 Pásztói,6782,1463,8245,279,272,8524,4132,3703,12656,Nógrád county,K03 Pásztói
K04 Rétsági,5204,1136,6340,213,210,6553,2957,2632,9510,Nógrád county,K04 Rétsági
K05 Salgótarjáni,13026,3892,16918,204,200,17122,10383,9530,27505,Nógrád county,K05 Salgótarjáni
K06 Szécsényi,3986,884,4870,141,134,5011,2303,2079,7314,Nógrád county,K06 Szécsényi
Size-groups of population,,,,,,,,,,Nógrád county,Size-groups of population
Towns,,,,,,,,,,Nógrád county,Towns
Together,17664,5278,22942,291,286,23233,13086,11932,36319,Nógrád county,Together
Villages,,,,,,,,,,Nógrád county,Villages
  199 and less,303,78,381,14,13,395,340,306,735,Nógrád county,  199 and less
Together,24887,5474,30361,926,901,31287,15446,13968,46733,Nógrád county,Together
Total,42551,10752,53303,1217,1187,54520,28532,25900,83052,Nógrád county,Total
Of which:,,,,,,,,,,Nógrád county,Of which:
Data of localities,,,,,,,,,,Nógrád county,Data of localities
County seat,,,,,,,,,,Nógrád county,County seat
J05 K05 Salgótarján,7595,2589,10184,76,74,10260,6696,6141,16956,Nógrád county,J05 K05 Salgótarján
Other towns,,,,,,,,,,Nógrád county,Other towns
J01 K01 Balassagyarmat,3372,962,4334,58,58,4392,2113,1909,6505,Nógrád county,J01 K01 Balassagyarmat
J02 K02 Bátonyterenye,2685,769,3454,40,40,3494,1952,1810,5446,Nógrád county,J02 K02 Bátonyterenye
J03 K03 Pásztó,2078,481,2559,58,57,2617,1262,1124,3879,Nógrád county,J03 K03 Pásztó
J04 K04 Rétság,598,173,771,25,25,796,308,270,1104,Nógrád county,J04 K04 Rétság
J06 K06 Szécsény,1336,304,1640,34,32,1674,755,678,2429,Nógrád county,J06 K06 Szécsény
Villages,,,,,,,,,,Nógrád county,Villages
J04 K04 Alsópetény,145,30,175,3,3,178,96,83,274,Nógrád county,J04 K04 Alsópetény
J03 K03 Alsótold,59,7,66,2,2,68,21,17,89,Nógrád county,J03 K03 Alsótold
J04 K04 Bánk,134,31,165,10,10,175,112,103,287,Nógrád county,J04 K04 Bánk
J05 K05 Bárna,234,52,286,13,13,299,146,132,445,Nógrád county,J05 K05 Bárna
J01 K01 Becske,122,20,142,6,5,148,75,71,223,Nógrád county,J01 K01 Becske
J03 K03 Bér,74,16,90,2,1,92,67,64,159,Nógrád county,J03 K03 Bér
J01 K01 Bercel,392,80,472,27,26,499,219,205,718,Nógrád county,J01 K01 Bercel
J04 K04 Berkenye,162,23,185,4,4,189,60,58,249,Nógrád county,J04 K04 Berkenye
J03 K03 Bokor,22,6,28,.,.,28,27,23,55,Nógrád county,J03 K03 Bokor
J04 K04 Borsosberény,197,53,250,4,4,254,147,134,401,Nógrád county,J04 K04 Borsosberény
J03 K03 Buják,489,84,573,27,26,600,281,258,881,Nógrád county,J03 K03 Buják
J05 K05 Cered,268,49,317,4,4,321,184,177,505,Nógrád county,J05 K05 Cered
J03 K03 Csécse,197,56,253,10,9,263,119,106,382,Nógrád county,J03 K03 Csécse
J01 K01 Cserháthaláp,67,20,87,3,3,90,53,45,143,Nógrád county,J01 K01 Cserháthaláp
J01 K01 Cserhátsurány,171,50,221,8,7,229,97,83,326,Nógrád county,J01 K01 Cserhátsurány
J03 K03 Cserhátszentiván,29,8,37,.,.,37,27,23,64,Nógrád county,J03 K03 Cserhátszentiván
J01 K01 Csesztve,66,10,76,6,6,82,52,44,134,Nógrád county,J01 K01 Csesztve
J01 K01 Csitár,86,19,105,5,5,110,56,49,166,Nógrád county,J01 K01 Csitár
J01 K01 Debercsény,14,6,20,.,.,20,21,19,41,Nógrád county,J01 K01 Debercsény
J01 K01 Dejtár,301,54,355,17,16,372,146,139,518,Nógrád county,J01 K01 Dejtár
J04 K04 Diósjenõ,530,133,663,26,25,689,340,301,1029,Nógrád county,J04 K04 Diósjenõ
J02 K02 Dorogháza,242,69,311,1,1,312,219,199,531,Nógrád county,J02 K02 Dorogháza
J01 K01 Drégelypalánk,305,80,385,15,13,400,205,184,605,Nógrád county,J01 K01 Drégelypalánk
J03 K03 Ecseg,244,40,284,10,10,294,175,153,469,Nógrád county,J03 K03 Ecseg
J03 K03 Egyházasdengeleg,85,29,114,8,8,122,69,60,191,Nógrád county,J03 K03 Egyházasdengeleg
J05 K05 Egyházasgerge,173,54,227,.,.,227,107,105,334,Nógrád county,J05 K05 Egyházasgerge
J06 K06 Endrefalva,254,57,311,6,6,317,160,148,477,Nógrád county,J06 K06 Endrefalva
J03 K03 Erdõkürt,98,16,114,9,9,123,84,75,207,Nógrád county,J03 K03 Erdõkürt
J03 K03 Erdõtarcsa,97,31,128,9,9,137,65,59,202,Nógrád county,J03 K03 Erdõtarcsa
J01 K01 Érsekvadkert,776,151,927,36,36,963,384,340,1347,Nógrád county,J01 K01 Érsekvadkert
J05 K05 Etes,275,86,361,1,1,362,301,278,663,Nógrád county,J05 K05 Etes
J04 K04 Felsõpetény,143,20,163,4,4,167,74,55,241,Nógrád county,J04 K04 Felsõpetény
J03 K03 Felsõtold,26,7,33,1,1,34,35,33,69,Nógrád county,J03 K03 Felsõtold
J01 K01 Galgaguta,109,34,143,12,12,155,79,70,234,Nógrád county,J01 K01 Galgaguta
J03 K03 Garáb,8,2,10,2,2,12,13,11,25,Nógrád county,J03 K03 Garáb
J03 K03 Héhalom,234,48,282,7,7,289,101,89,390,Nógrád county,J03 K03 Héhalom
J01 K01 Herencsény,132,29,161,4,4,165,80,68,245,Nógrád county,J01 K01 Herencsény
J06 K06 Hollókõ,68,19,87,1,1,88,61,56,149,Nógrád county,J06 K06 Hollókõ
J01 K01 Hont,95,25,120,3,3,123,87,81,210,Nógrád county,J01 K01 Hont
J04 K04 Horpács,34,6,40,1,1,41,24,21,65,Nógrád county,J04 K04 Horpács
J01 K01 Hugyag,204,33,237,6,6,243,76,64,319,Nógrád county,J01 K01 Hugyag
J01 K01 Iliny,28,5,33,4,3,37,30,27,67,Nógrád county,J01 K01 Iliny
J01 K01 Ipolyszög,127,32,159,5,5,164,66,60,230,Nógrád county,J01 K01 Ipolyszög
J05 K05 Ipolytarnóc,86,27,113,1,1,114,70,65,184,Nógrád county,J05 K05 Ipolytarnóc
J01 K01 Ipolyvece,169,42,211,2,2,213,118,110,331,Nógrád county,J01 K01 Ipolyvece
J03 K03 Jobbágyi,488,99,587,9,9,596,254,231,850,Nógrád county,J03 K03 Jobbágyi
J03 K03 Kálló,298,58,356,15,15,371,141,129,512,Nógrád county,J03 K03 Kálló
J05 K05 Karancsalja,338,102,440,4,4,444,199,179,643,Nógrád county,J05 K05 Karancsalja
J05 K05 Karancsberény,203,46,249,3,3,252,126,115,378,Nógrád county,J05 K05 Karancsberény
J05 K05 Karancskeszi,383,96,479,4,4,483,303,275,786,Nógrád county,J05 K05 Karancskeszi
J05 K05 Karancslapujtõ,552,153,705,10,10,715,390,353,1105,Nógrád county,J05 K05 Karancslapujtõ
J05 K05 Karancsság,261,52,313,7,7,320,114,103,434,Nógrád county,J05 K05 Karancsság
J05 K05 Kazár,381,96,477,9,9,486,229,215,715,Nógrád county,J05 K05 Kazár
J04 K04 Keszeg,139,27,166,9,9,175,77,69,252,Nógrád county,J04 K04 Keszeg
J04 K04 Kétbodony,103,19,122,7,7,129,51,47,180,Nógrád county,J04 K04 Kétbodony
J03 K03 Kisbágyon,85,13,98,11,11,109,51,44,160,Nógrád county,J03 K03 Kisbágyon
J05 K02 Kisbárkány,46,8,54,.,.,54,35,30,89,Nógrád county,J05 K02 Kisbárkány
J04 K04 Kisecset,27,12,39,.,.,39,45,41,84,Nógrád county,J04 K04 Kisecset
J05 K05 Kishartyán,128,23,151,2,2,153,108,102,261,Nógrád county,J05 K05 Kishartyán
J03 K03 Kozárd,35,7,42,1,1,43,32,30,75,Nógrád county,J03 K03 Kozárd
J03 K03 Kutasó,17,3,20,.,.,20,21,19,41,Nógrád county,J03 K03 Kutasó
J04 K04 Legénd,99,24,123,7,7,130,51,44,181,Nógrád county,J04 K04 Legénd
J05 K05 Litke,178,34,212,9,9,221,94,82,315,Nógrád county,J05 K05 Litke
J05 K02 Lucfalva,121,26,147,10,10,157,61,49,218,Nógrád county,J05 K02 Lucfalva
J06 K06 Ludányhalászi,242,58,300,7,7,307,165,150,472,Nógrád county,J06 K06 Ludányhalászi
J06 K06 Magyargéc,172,33,205,11,11,216,63,60,279,Nógrád county,J06 K06 Magyargéc
J01 K01 Magyarnándor,256,49,305,12,12,317,150,138,467,Nógrád county,J01 K01 Magyarnándor
J05 K02 Márkháza,60,9,69,.,.,69,26,25,95,Nógrád county,J05 K02 Márkháza
J02 K02 Mátramindszent,199,40,239,2,2,241,146,133,387,Nógrád county,J02 K02 Mátramindszent
J02 K02 Mátranovák,431,72,503,2,2,505,369,343,874,Nógrád county,J02 K02 Mátranovák
J05 K05 Mátraszele,215,58,273,4,4,277,150,137,427,Nógrád county,J05 K05 Mátraszele
J03 K03 Mátraszõlõs,336,86,422,20,19,442,184,170,626,Nógrád county,J03 K03 Mátraszõlõs
J02 K02 Mátraterenye,408,93,501,8,7,509,305,278,814,Nógrád county,J02 K02 Mátraterenye
J02 K02 Mátraverebély,367,130,497,16,16,513,304,274,817,Nógrád county,J02 K02 Mátraverebély
J05 K05 Mihálygerge,143,24,167,5,5,172,102,94,274,Nógrád county,J05 K05 Mihálygerge
J01 K01 Mohora,188,43,231,8,7,239,106,93,345,Nógrád county,J01 K01 Mohora
J05 K02 Nagybárkány,169,22,191,4,4,195,56,53,251,Nógrád county,J05 K02 Nagybárkány
J05 K02 Nagykeresztúr,67,11,78,.,.,78,30,29,108,Nógrád county,J05 K02 Nagykeresztúr
J06 K06 Nagylóc,330,72,402,13,13,415,248,215,663,Nógrád county,J06 K06 Nagylóc
J04 K04 Nagyoroszi,469,96,565,11,11,576,242,219,818,Nógrád county,J04 K04 Nagyoroszi
J02 K02 Nemti,160,51,211,2,2,213,129,125,342,Nógrád county,J02 K02 Nemti
J04 K04 Nézsa,229,54,283,12,12,295,142,122,437,Nógrád county,J04 K04 Nézsa
J04 K04 Nógrád,320,83,403,8,7,411,194,177,605,Nógrád county,J04 K04 Nógrád
J01 K01 Nógrádkövesd,162,31,193,4,4,197,71,66,268,Nógrád county,J01 K01 Nógrádkövesd
J01 K01 Nógrádmarcal,121,18,139,4,4,143,49,43,192,Nógrád county,J01 K01 Nógrádmarcal
J06 K06 Nógrádmegyer,341,104,445,8,8,453,161,151,614,Nógrád county,J06 K06 Nógrádmegyer
J04 K04 Nógrádsáp,195,44,239,6,6,245,85,76,330,Nógrád county,J04 K04 Nógrádsáp
J06 K06 Nógrádsipek,144,27,171,9,9,180,103,91,283,Nógrád county,J06 K06 Nógrádsipek
J06 K06 Nógrádszakál,115,20,135,9,7,144,60,52,204,Nógrád county,J06 K06 Nógrádszakál
J04 K04 Nõtincs,247,58,305,10,10,315,129,116,444,Nógrád county,J04 K04 Nõtincs
